dataset,window_id,scenario,model_variant,accuracy,f1,roc_auc,pr_auc,brier,ece,expected_cost,delta_f1_vs_reference,delta_cost_vs_reference
medical,1,stable,LogisticRegression,0.65,0.42105263157894735,0.7415213178294573,0.4867497563288209,0.20199118589987172,0.2026778934411582,0.7136363636363636,-0.07894736842105265,0.1358585858585859
medical,1,stable,RandomForest,0.8,0.21428571428571427,0.7120881782945737,0.4511814343140869,0.15301056463068183,0.05752840909090906,0.9636363636363636,0.014285714285714263,-0.014141414141414121
medical,2,covariate,LogisticRegression,0.5454545454545454,0.45652173913043476,0.7409156976744186,0.4859772771995625,0.2974970815592057,0.3643453804614103,0.5636363636363636,-0.043478260869565244,-0.014141414141414121
medical,2,covariate,RandomForest,0.7772727272727272,0.1694915254237288,0.7167514534883721,0.3972008719764375,0.15615265447443183,0.042997159090909086,1.0045454545454546,-0.030508474576271205,0.026767676767676885
medical,3,prior,LogisticRegression,0.6681818181818182,0.7474048442906575,0.7527272727272727,0.8914019345462324,0.19465590733393437,0.18973353873083368,1.3681818181818182,0.24740484429065746,0.7904040404040404
medical,3,prior,RandomForest,0.3409090909090909,0.21621621621621623,0.7507438016528926,0.8908795553192259,0.3786506569602273,0.46278409090909095,3.2954545454545454,0.016216216216216217,2.3176767676767676
medical,4,combined,LogisticRegression,0.7954545454545454,0.8710601719197708,0.7542699724517907,0.891416147803078,0.15059835973941765,0.07982671145982231,0.4409090909090909,0.3710601719197708,-0.1368686868686868
medical,4,combined,RandomForest,0.32272727272727275,0.1945945945945946,0.7423140495867768,0.8758123323949051,0.34805109197443185,0.43257102272727277,3.35,-0.005405405405405406,2.3722222222222222
finance,1,stable,LogisticRegression,0.7045454545454546,0.6107784431137725,0.7275251648733078,0.6256992488715083,0.20469328672623913,0.06578369672141286,0.9318181818181818,0.034389554224883656,-0.018831168831168865
finance,1,stable,RandomForest,0.6681818181818182,0.39669421487603307,0.6755900728913572,0.5737525786833704,0.2174576970880682,0.06001420454545451,1.459090909090909,-0.007151938970120786,0.07727272727272716
finance,2,covariate,LogisticRegression,0.6954545454545454,0.588957055214724,0.7302152030544949,0.627817561357361,0.2024354380984734,0.04672037011887268,0.9954545454545455,0.012568166325835128,0.04480519480519485
finance,2,covariate,RandomForest,0.6318181818181818,0.25688073394495414,0.6669559180839986,0.5704314747663009,0.22230708451704545,0.08252840909090904,1.6772727272727272,-0.1469654199011997,0.2954545454545454
finance,3,prior,LogisticRegression,0.6681818181818182,0.7345454545454545,0.7737741046831956,0.8893129720486648,0.21700334112806222,0.24663291046217406,1.4954545454545454,0.15815656565656566,0.5448051948051947
finance,3,prior,RandomForest,0.4727272727272727,0.4727272727272727,0.7153719008264462,0.8643454172846292,0.30185511363636364,0.3590056818181818,2.581818181818182,0.06888111888111886,1.2000000000000002
finance,4,combined,LogisticRegression,0.6318181818181818,0.6920152091254753,0.7672727272727272,0.8872026556616981,0.2315448452615831,0.2736982865938054,1.7136363636363636,0.11562632023658648,0.762987012987013
finance,4,combined,RandomForest,0.41818181818181815,0.38461538461538464,0.6909090909090909,0.853126639229694,0.3303505415482954,0.3932528409090909,2.8545454545454545,-0.019230769230769218,1.4727272727272727
