dataset,scenario,phase,accuracy,f1,roc_auc,pr_auc,brier,ece,expected_cost
medical,stable,before_retrain,0.7954545454545454,0.18181818181818182,0.7097635392829901,0.39218421937741466,0.15686356977982954,0.08952414772727271,0.9772727272727273
medical,stable,after_retrain,0.7840909090909091,0.09523809523809523,0.6552250190694127,0.34869269372943223,0.16150046608664773,0.07141335227272726,1.0340909090909092
medical,covariate,before_retrain,0.7727272727272727,0.16666666666666666,0.7280701754385964,0.39546825682226433,0.15637717507102272,0.04098011363636363,1.0
medical,covariate,after_retrain,0.7840909090909091,0.09523809523809523,0.6567505720823797,0.36782694471441235,0.16146162553267043,0.08100142045454543,1.0340909090909092
medical,prior,before_retrain,0.3181818181818182,0.16666666666666666,0.6938705234159779,0.8460815452881753,0.38956076882102264,0.46640625,3.409090909090909
medical,prior,after_retrain,0.8295454545454546,0.896551724137931,0.9152892561983471,0.9721072354400375,0.11186689897017045,0.08128551136363633,0.2159090909090909
medical,combined,before_retrain,0.3068181818181818,0.1643835616438356,0.662534435261708,0.8337252229660252,0.35796875,0.43125,3.4204545454545454
medical,combined,after_retrain,0.8181818181818182,0.8888888888888888,0.9221763085399449,0.9748154736303382,0.114951171875,0.08913352272727271,0.2727272727272727
finance,stable,before_retrain,0.7159090909090909,0.4444444444444444,0.6993464052287582,0.6608320213530223,0.20736039595170455,0.0747869318181818,1.375
finance,stable,after_retrain,0.6022727272727273,0.38596491228070173,0.5615468409586057,0.5492684138818043,0.2384630237926136,0.14957386363636363,1.4431818181818181
finance,covariate,before_retrain,0.6590909090909091,0.25,0.69281045751634,0.6373125346460877,0.21432517311789773,0.07617187499999999,1.6590909090909092
finance,covariate,after_retrain,0.6477272727272727,0.41509433962264153,0.5787037037037037,0.555186061465379,0.23299061168323865,0.13306107954545454,1.3977272727272727
finance,prior,before_retrain,0.45454545454545453,0.4418604651162791,0.6456611570247934,0.843525699972844,0.3207304243607955,0.36874999999999997,2.6818181818181817
finance,prior,after_retrain,0.7159090909090909,0.8275862068965517,0.7685950413223142,0.9216294899875057,0.16313376686789774,0.11118607954545452,0.5568181818181818
finance,combined,before_retrain,0.4318181818181818,0.40476190476190477,0.640840220385675,0.836709852206151,0.3423544034090909,0.39744318181818183,2.7954545454545454
finance,combined,after_retrain,0.7045454545454546,0.821917808219178,0.7579201101928374,0.9171311111383038,0.163197021484375,0.12084517045454547,0.5681818181818182
